loop_size,tick,time
2032446,14300680,4.623351
3734295,26568848,8.589599
1064709,7499932,2.424697
4380491,30674084,9.916804
4409644,31703612,10.249646
3403050,23832436,7.704928
2285910,16006560,5.174855
3671840,25711900,8.312551
3107320,21760052,7.034935
4392000,30754860,9.942919
2000841,14009920,4.529349
2024911,14178316,4.583791
1292942,9070848,2.932568
3057528,21659088,7.002293
4559250,31930256,10.322920
3445643,24123668,7.799082
3124131,21879296,7.073486
4285323,30013596,9.703271
4835827,33860340,10.946908
3946987,27645172,8.937570
2375837,16635036,5.378038
2439768,17084184,5.523246
1175661,8234868,2.662299
1095452,7673676,2.480868
1020304,7142140,2.309024
2949016,20654540,6.677527
2171542,15205312,4.915814
3833049,26843640,8.678438
4280584,29978116,9.691801
3029638,21213092,6.858105
2869883,20098992,6.497921
1313031,9196692,2.973252
1763934,12353416,3.993808
2934593,20547976,6.643076
4693523,32869876,10.626695
1173578,8219280,2.657259
1337643,9427860,3.047988
1979433,14027048,4.534887
3845419,26928216,8.705781
3444964,24124816,7.799453
1371433,9605900,3.105548
4846260,33939240,10.972416
4469876,31304832,10.120723
1664376,11656792,3.768593
2903789,20330972,6.572919
4029127,28216696,9.122341
4110019,28778740,9.304047
1027920,7199960,2.327717
3314450,23211204,7.504086
3945847,27631096,8.933019
3974908,27834280,8.998707
4690288,32846256,10.619059
1385616,9699328,3.135753
4150569,29069940,9.398191
4785740,33920156,10.966246
1405921,9841456,3.181702
2099586,14708864,4.755315
1957283,13706756,4.431337
4238971,29683476,9.596545
1380170,9666540,3.125152
3986921,27917560,9.025632
2108854,14765824,4.773730
1693202,11856192,3.833058
4750855,33293612,10.763687
4043447,28316328,9.154552
1386725,10149604,3.281325
4924434,34486904,11.149473
4381091,30675324,9.917205
2366158,16570836,5.357283
3769853,26398312,8.534465
2826056,20555488,6.645504
2737592,20004188,6.467271
3616114,25320560,8.186032
2295932,16075564,5.197163
3401968,23822848,7.701828
1519903,10643296,3.440934
1325060,9279160,2.999914
2511988,18055936,5.837409
1547824,10840072,3.504550
3639510,25484416,8.239006
1457836,10787256,3.487475
4522732,31672236,10.239503
3329798,23319640,7.539143
1843452,12909468,4.173578
3673302,25721020,8.315499
3115539,21817632,7.053550
2249373,15750996,5.092232
4772888,33424312,10.805942
4072822,28795540,9.309479
1488344,10423040,3.369726
1153059,8071428,2.609459
3059743,21571476,6.973969
2597199,18189948,5.880735
1846261,12929172,4.179948
2810599,19678152,6.361865
1640647,11489804,3.714606
2232987,15635456,5.054878
2735033,19157904,6.193671
1021739,7152180,2.312270
3599146,25207328,8.149425
1504887,10629548,3.436489
2847796,20393792,6.593229
1336738,9362540,3.026870
4121002,28916468,9.348574
4143729,29015708,9.380658
3738707,26185900,8.465793
4640906,33319484,10.772051
4468789,31296056,10.117885
1250695,8760216,2.832142
1188730,8321124,2.690185
3108299,21768812,7.037767
1708531,12346156,3.991461
4711463,32991672,10.666071
1438098,10066696,3.254521
2551984,17874568,5.778774
3384765,23702220,7.662830
3553637,24886860,8.045819
3801358,26617216,8.605236
3157653,22112788,7.148973
2626460,18390704,5.945638
4289703,30039640,9.711691
3310713,23182600,7.494839
4686204,32813932,10.608608
1886903,13212232,4.271460
4156974,30131044,9.741242
2496803,17481612,5.651733
2527550,17736172,5.734031
1389962,9729744,3.145586
4231837,30461812,9.848178
2549290,18091348,5.848858
3989108,28764476,9.299436
4736724,33165872,10.722389
4397086,30793808,9.955511
4325847,30291400,9.793084
3857726,27011844,8.732817
3540815,24793292,8.015569
3064554,21462332,6.938683
3498632,24499824,7.920692
3009605,21902004,7.080827
3315250,23218520,7.506451
3687363,25822476,8.348300
1117904,7828672,2.530977
4023781,28179312,9.110255
3398826,23805048,7.696073
1556003,10896448,3.522777
1575766,11030368,3.566072
1783591,13320160,4.306353
4109640,28859536,9.330168
4377124,31473564,10.175273
3941245,27602960,8.923923
1736101,12156920,3.930282
3666828,26502176,8.568044
2251958,15769648,5.098262
1422305,9960184,3.220086
4553731,31941372,10.326513
1408933,9867916,3.190256
2919108,20442932,6.609115
2081282,14573212,4.711459
1798895,12597464,4.072708
2150945,15100312,4.881868
3630572,25424360,8.219590
4788003,33539008,10.843022
1887670,13218680,4.273545
